"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 16 03:47:49 UTC 2023","Thu Nov 16 03:47:50 UTC 2023","1004","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Nov 16 03:54:02 UTC 2023","Thu Nov 16 03:54:06 UTC 2023","3427","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Nov 16 02:49:27 UTC 2023","Thu Nov 16 02:49:30 UTC 2023","3110","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Nov 16 04:02:44 UTC 2023","Thu Nov 16 04:02:54 UTC 2023","9990","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu Nov 16 03:54:11 UTC 2023","Thu Nov 16 03:54:13 UTC 2023","1672","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Thu Nov 16 02:42:53 UTC 2023","Thu Nov 16 02:43:06 UTC 2023","13599","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Nov 16 03:52:11 UTC 2023","Thu Nov 16 03:52:15 UTC 2023","3775","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Nov 16 02:50:06 UTC 2023","Thu Nov 16 02:50:07 UTC 2023","374","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Nov 16 02:57:13 UTC 2023","Thu Nov 16 02:57:26 UTC 2023","13150","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Nov 16 03:47:31 UTC 2023","Thu Nov 16 03:47:37 UTC 2023","6158","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Thu Nov 16 03:39:06 UTC 2023","Thu Nov 16 03:43:18 UTC 2023","251776","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Nov 16 02:43:06 UTC 2023","Thu Nov 16 02:43:14 UTC 2023","7496","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Nov 16 02:52:11 UTC 2023","Thu Nov 16 02:52:21 UTC 2023","10517","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Nov 16 03:47:50 UTC 2023","Thu Nov 16 03:47:51 UTC 2023","836","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Nov 16 02:39:37 UTC 2023","Thu Nov 16 02:39:43 UTC 2023","5831","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Nov 16 03:49:21 UTC 2023","Thu Nov 16 03:49:39 UTC 2023","18323","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Nov 16 03:34:47 UTC 2023","Thu Nov 16 03:34:50 UTC 2023","2551","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Nov 16 02:49:42 UTC 2023","Thu Nov 16 02:49:43 UTC 2023","1467","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Nov 16 02:40:53 UTC 2023","Thu Nov 16 02:41:05 UTC 2023","12512","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Nov 16 03:38:53 UTC 2023","Thu Nov 16 03:39:06 UTC 2023","13508","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Nov 16 03:29:02 UTC 2023","Thu Nov 16 03:29:12 UTC 2023","9958","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Nov 16 03:34:50 UTC 2023","Thu Nov 16 03:34:52 UTC 2023","2798","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Nov 16 02:49:17 UTC 2023","Thu Nov 16 02:49:27 UTC 2023","9818","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Nov 16 02:46:52 UTC 2023","Thu Nov 16 02:46:54 UTC 2023","1817","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Nov 16 03:51:24 UTC 2023","Thu Nov 16 03:51:43 UTC 2023","19124","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Thu Nov 16 02:31:35 UTC 2023","Thu Nov 16 02:32:46 UTC 2023","70934","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Nov 16 02:54:31 UTC 2023","Thu Nov 16 02:55:39 UTC 2023","67694","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Nov 16 03:35:24 UTC 2023","Thu Nov 16 03:35:26 UTC 2023","2038","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Nov 16 02:28:42 UTC 2023","Thu Nov 16 02:29:04 UTC 2023","21463","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Nov 16 02:37:06 UTC 2023","Thu Nov 16 02:37:14 UTC 2023","7527","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Nov 16 02:35:35 UTC 2023","Thu Nov 16 02:35:41 UTC 2023","5865","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Nov 16 04:03:07 UTC 2023","Thu Nov 16 04:03:30 UTC 2023","22365","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Nov 16 04:03:30 UTC 2023","Thu Nov 16 04:03:31 UTC 2023","1342","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Thu Nov 16 03:51:04 UTC 2023","Thu Nov 16 03:51:17 UTC 2023","13260","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Nov 16 02:45:51 UTC 2023","Thu Nov 16 02:45:53 UTC 2023","1252","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
